City;Country;Year
Debundscha;Cameroon;598,3
Batna;Algeria;326,2
Biskra;Algeria;129,1
Skikda;Algeria;728,8
Tamanrasset;Algeria;58,4
Douala;Cameroon;3,602,7
N'Djamena;Chad;510,3
Brazzaville;Congo;1,394
Mbabane;Eswatini;1,441,7
Cocobeach;Gabon;3,126
Banjul;Gambia;839,2
Accra;Ghana;798,5
Conakry;Guinea;3,784
Bissau;Guinea Bissau;2,022,8
Abidjan;Ivory Coast;1,847,6
Maseru;Lesotho;691
Monrovia;Liberia;4,624
Niamey;Niger;540,8
Abeokuta;Nigeria;1,246,3
Kaduna;Nigeria;1,28
Kano;Nigeria;1,149,2
Lagos;Nigeria;1,506,6
Port Harcourt;Nigeria;2,286,5
Yola;Nigeria;886,1
Dakar;Senegal;392,5
Kaolack;Senegal;630,6
Kolda;Senegal;1,057,8
Ziguinchor;Senegal;1,401,2
Freetown;Sierra Leone;4,433
Cape Town;South Africa;492,8
Durban;South Africa;1,019
Port Elizabeth;South Africa;591,5
Ceuta;Spain;849
Melilla;Spain;391
Dar es Salaam;Tanzania;1,117,4
Lomé;Togo;830,3
Mawsynram;India;133
Faizabad;Afghanistan;484,9
Herat;Afghanistan;238,9
Jalalabad;Afghanistan;181,9
Kabul;Afghanistan;312
Khost;Afghanistan;476,5
Mazar-i-Sharif;Afghanistan;186,4
Artashat;Armenia;245
Vanadzor;Armenia;565
Yerevan;Armenia;363
Manama;Bahrain;70,8
Sibsu;Bhutan;5,520,5
Thimphu;Bhutan;608
Beijing;China;528
Chengdu;China;923
Hefei;China;1,042,8
Hong Kong;China;2,431,3
Shanghai;China;1,245,5
Turpan;China;45487
Ürümqi;China;305,2
Agra;India;760,7
Delhi;India;758,9
Guwahati;India;1,695,3
Hyderabad;India;859,6
Imphal;India;1,381,1
Jammu;India;1,402,0
Kolkata;India;1,813,3
Kohima;India;1,727,6
Mumbai;India;2,213,4
Panaji;India;2,984,1
Pondicherry;India;1,354,0
Port Blair;India;2,968,3
Shimla;India;1,487,3
Srinagar;India;697,5
Ahvaz;Iran;209,2
Astara;Iran;1,345,0
Bandar-e Anzali;Iran;1,713,8
Gorgan;Iran;583,8
Ilam;Iran;550,6
Isfahan;Iran;125
Kermanshah;Iran;439,2
Mashhad;Iran;251,5
Sanandaj;Iran;449,9
Tabriz;Iran;283,8
Tehran;Iran;231,6
Yazd;Iran;52,2
Baghdad;Iraq;124,7
Mosul;Iraq;363,6
Nagoya;Japan;1,535,4
Owase;Japan;3,969,7
;;
;;
Aktau;Kazakhstan;138
Almaty;Kazakhstan;673
Astana;Kazakhstan;338
Labuan;Malaysia;3,244,8
Ulaanbaatar;Mongolia;260
Chongjin;North Korea;613,9
Pyongyang;North Korea;936,4
Muscat;Oman;100,3
Islamabad;Pakistan;1,268,6
Lahore;Pakistan;674,2
Quetta;Pakistan;241,5
Doha;Qatar;75,2
Irkutsk;Russia;477
Petropavlovsk-;Russia;1177
Kamchatsky;;
Vladivistok;Russia;862
Jeju City;South Korea;1,502,3
Seoul;South Korea;1,417,9
Damascus;Syria;124,7
Homs;Syria;429,4
Taipei;Taiwan;2,368,5
Dushanbe;Tajikistan;654
Khujand;Tajikistan;226
Ankara;Turkey;413,6
Antalya;Turkey;1070,4
Bolu;Turkey;573,6
Bursa;Turkey;719,1
Erzurum;Turkey;429,3
Giresun;Turkey;1290,5
Kars;Turkey;506
Konya;Turkey;325,3
Rize;Turkey;2,309,5
Trabzon;Turkey;828
Urfa;Turkey;459,3
Ashgabat;Turkmenistan;221
Bukhara;Uzbekistan;132,4
Tirana;Albania;1,266,0
Vienna;Austria;673,1
Bregenz;Austria;1,519,0
Graz;Austria;854,2
Minsk;Belarus;690
Brussels;Belgium;848
Banja Luka;Bosnia and Herzegovina;1,037,2
Bihać;Bosnia and Herzegovina;1,308,8
Mostar;Bosnia and Herzegovina;1,522,5
Sarajevo;Bosnia and Herzegovina;928
Sofia;Bulgaria;625
Varna;Bulgaria;516
Parg;Croatia;1,841,0
Zagreb;Croatia;840,1
Split;Croatia;782,8
Nicosia;Cyprus;342,2
Liberec;Czech Republic;845,3
Prague;Czech Republic;587
Copenhagen;Denmark;645,7
Tallinn;Estonia;700
Kurmangazy;European Kazakhstan;149,8
Tórshavn;Faroe Islands;1,321,3
Helsinki;Finland;655
Ajaccio;France;635
Biarritz;France;1,473,6
Bordeaux;France;924,9
Lille;France;740
Lyon;France;831,9
Marseille;France;532,3
Paris;France;637,4
Saint-Étienne;France;728,3
Toulouse;France;627
Akhaltsikhe;Georgia;527,9
Ambrolauri;Georgia;1112,4
Batumi;Georgia;2,519,0
Kutaisi;Georgia;1,461,0
Poti;Georgia;2,068,3
Tbilisi;Georgia;495,5
Zugdidi;Georgia;1,951,8
Bad Wiessee;Germany;2,388,9
Berlin;Germany;515,2
Cologne;Germany;802,1
Frankfurt;Germany;598,5
Hamburg;Germany;776,6
Magdeburg;Germany;515,8
Oberstdorf;Germany;1,801,2
Athens;Greece;433,1
Heraklion;Greece;483,2
Kerkyra;Greece;1,097,3
Thessaloniki;Greece;435,5
Piraeus;Greece;331,9
Schoinoussa;Greece;239,8
Budapest;Hungary;532
Miskolc;Hungary;643,9
Pécs;Hungary;670,9
Reykjavík;Iceland;843,3
Vík í Mýrdal;Iceland;2,252,5
Dublin;Ireland;758
Valentia Island;Ireland;1,557,4
Bari;Italy;466,6
Bolzano;Italy;711,5
Cagliari;Italy;413,4
Campobasso;Italy;673,5
Florence;Italy;872,6
Naples;Italy;1,008,2
Palermo;Italy;855,4
Pescara;Italy;639,2
Rome;Italy;798,5
Tarvisio;Italy;1,417,0
Turin;Italy;981
